/* Names data file for localisation
* The id's should be less than 20 chars
*
* Text like this "*text*" is not final and should not be translated.
*/

/*
* VEHICLES
*/

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")
A0BaBaFlameTowerEnd			_("Scavenger Flame Tower End")
Barrier					"*Barrier*"
// MissileBunker				_("Missile Bunker")
A0BaBaFlameTow				"*A0BaBaFlameTow*"

/* BARBARIAN WEAPONS*/

/* FEATURES */
building4					"*Building 4*"
building5					"*Building 5*"
building6					"*Building 6*"
bridge					_("Bridge")
bridge1					"*Bridge 1*"
bridge5					"*Bridge 5*"
//OilPipe1				"*Oil Pipe 1*"
//OilPipe2				"*Oil Pipe 2*"
//OilPipe3				"*Oil Pipe 3*"
//WreckedHovercraft			_("Wrecked Hovercraft")
WreckedTank				_("Wrecked Tank")
//WreckedBuilding1			"*Wrecked Building 1*"
//Wreckedbuilding2			"*Wrecked Building 2*"
//WreckedBuilding3			"*Wrecked Building 3*"
//WreckedBuilding4			"*Wrecked Building 4*"
//WreckedBuilding				"*Wrecked Building 5*"
WreckedBuilding6			"*Wrecked Building 6*"
WreckedBuilding7			"*Wrecked Building 7*"
WreckedBuilding8			"*Wrecked Building 8*"
WreckedBuilding10			"*Wrecked Building 10*"
WreckedBuilding11			"*Wrecked Building 11*"
WreckedBuilding12			"*Wrecked Building 12*"
WreckedBuilding13			"*Wrecked Building 13*"
WreckedBuilding14			"*Wrecked Building 14*"
WreckedBuilding15			"*Wrecked Building 15*"
//WreckedTankerH				_("Wrecked Tanker")

/* LABS */
Z-Lab01					_("Cyborg Laboratory")
Z-Lab02					_("Advanced Warfare Laboratory")
Z-Lab03					_("Engineering Laboratory")
Z-Lab04					_("Robotics Laboratory")
Z-Lab05					_("Laser Optics Laboratory")
Z-Lab06					_("Electronics Laboratory")
Z-Lab07					_("Chemical Laboratory")
Z-Lab08					"*Advanced Materials Lab*"
Z-Lab09					"*VTOL Lab*"
Z-Lab10					"*Electro-Magnetics Lab*"
Z-Lab11					"*Nanotech Lab*"
Z-Lab12					"*High Energy Lab*"

/* LABS RESEARCH */
R-Lab-AdvWarfare			_("Advanced Warfare")
R-Lab-Chemical				_("Chemical Laboratory")
R-Lab-Cyborg				_("Cyborg Laboratory")
R-Lab-Electronics			_("Electronics Laboratory")
R-Lab-Engineering			_("Engineering Laboratory")
R-Lab-Robotics				_("Robotics Laboratory")

// *New Names...... Keith

P0PythonHvyCnTrks		_("Heavy Cannon Python Tracks")
P0CobraSpadeTracks		_("Cobra Truck")
P0CobraFlameTracks		_("Flamer Cobra Tracks")
P0CobraMedCnTrks		_("Medium Cannon Cobra Tracks")

//CyborgChain01GroundP0	_("Gunner")
//CyborgRkt01GroundP0		_("Lancer")
//CyborgCannon01GrdP0		_("Heavy Gunner")
//CyborgFlamer01GrdP0		_("Flamer")

// Cyborgs used in PSX scripts - copied to Player2 and renamed P2

//CyborgFlamer01GrdP2		"*CyborgFlamer01GrdP2*"
//CyborgCannon01GrdP2		"*CyborgCannon01GrdP2*"
//CyborgRkt01GroundP2		"*CyborgRkt01GroundP2*"
//CyborgChain01GroundP2	"*CyborgChain01GroundP2*"

// added in by Keith

Howitzer04-Inc-pit		"*Howitzer04-Inc-pit*"
//P0-Emp-IncHow-Pit		_("Hellfire Emplacement")
Rocket-MRL-pit			"*Rocket-MRL-pit*"

//Rocket-HvyA-T-pit		"*Tank Killer-pit*"
Missile-MdArt-pit		"*Seraph Missile-pit*"
Missile-HvyArt-pit		"*Missile-HvyArt-pit*"

// added by Pete
//R-Cyborg-Wpn-Missile		_("Revenger Cyborg")

//ResMod-Cyb-MG-GRD		"*ResMod-Cyb-MG-GRD*"

//NEW VEHICLES
CO-M-HvFlame-Track 	"*CO-M-HvFlame-Track*"
CO-M-RR-HT			"*CO-M-RR-HT*"
CO-H-Rkt-BB-T		"*CO-H-Rkt-BB-T*"
CO-M-HMG-T			"*CO-M-HMG-T*"
CO-H-COM-H			"*CO-H-COM-H*"
CO-M-LTAT-Hover		"*CCO-M-LTAT-Hover*"
CO-M-HVAT-Hover		"*CCO-M-HVAT-Hover*"
CO-M-HvMortar-T		"*CO-M-HvMortar-T*"
CO-M-Repair-T		"*CO-M-Repair-T*"
CO-M-Rocket-BB-T		"*CO-M-Rocket-BB-T*"
CO-M-Rocket-LtA-T-T	"*CO-M-Rocket-LtA-T-T*"
CO-M-RotMortar-T		"*CO-M-RotMortar-T*"
CO-M-Sensor-T		"*CO-M-Sensor-T*"
CO-M-Vstrike-T		"*CO-M-Vstrike-T*"
CO-M-VTOLCBS-T		"*CO-M-VTOLCBS-T*"
CO-M-Con-T			"*CO-M-Con-T*"
CO-M-CBS-T			"*CO-M-CBS-T*"
CO-M-ROTMG-T		"*CO-M-ROTMG-T*"
CO-M-HVAT-V			"*CO-M-HVAT-V*"
CO-L-Bomb1-VTOL		"*CO-L-Bomb1-VTOL*"

CO-H-QuadRotAA-T		"*CO-H-QuadRotAA-T*"
CO-H-QuadBofAA-T		"*CO-H-QuadBofAA-T*"

Rocket-IDF-Emp		"*Rocket-IDF-Emp*"


// Additional templates for Player 0 entering start of cam2

P0CobraLtATRktHtrack	_("Lancer Cobra Half-tracks")
P0CobraHvyMGHtrack	_("Heavy Machinegun Cobra Half-tracks")
P0PythonComTracks		_("Command Turret Python Tracks")
P0CobraRepairTrks		_("Repair Cobra Tracks")

// New Cyborg Bodies
Cyb-Bod-Atmiss		"*Cyb-Bod-Atmiss*"
Cyb-Bod-BB-Rkt		"*Cyb-Bod-BB-Rkt*"
Cyb-Bod-Las1			"*Cyb-Bod-Las1*"
Cyb-Bod-Rail1			"*Cyb-Bod-Rail1*"

Cyb-Wpn-BB-Rkt		"*Cyb-Wpn-BB-Rkt*"

Cyb-Atmiss-GROUND		_("Scourge")
Cyb-BB-Rkt-GROUND		_("Bunker Blaster")
Cyb-Laser1-GROUND		_("Flashlight Gunner")
Cyb-Rail1-GROUND		_("Needle Gunner")

// Multiplayer VTOLs
P6-L-LTAT-V			"*Skirmish ATVTOL*"
P6-L-Bomb1-V		"*Skirmish BOMBVTOL*"
P6-M-QMG1-HT		"*P6-M-QMG1-HT*"

// New Style Repair Center - replaces all instances of A0RepairCentre
A0RepairCentre2		_("Repair Center")



// CAM3 Start - Available Units
P0cam3CobCONTrk		_("Truck")
P0cam3PyHvyATTrk	_("Tank Killer Python Tracks")
P0cam3PyHPVcanTrk	_("Hyper Velocity Cannon Python Tracks")
P0cam3PyFlakHT		_("AA Flak Cannon Python Half-tracks")
P0cam3PyAsltGnTrk	_("Assault Gun Python Tracks")

R-Sys-NEXUSrepair		"*R-Sys-NEXUSrepair*"

// name change - moved to bottom of Names.TXT by Keith 9/2/99

R-Defense-Pillbox-RotMG			"*NOT USED Rotary MG Bunker*"

NX-M-Bomb4-VTOL				"*NX-M-Bomb4-VTOL*"

// Added Cruise Missile Launcher Struc (CAM3-1) and ANTI-SAT Launcher (CAM3-4)
NX-ANTI-SATSite			_("Missile Silo")
NX-CruiseSite			_("Missile Silo")

NEXUSlink			"*NEXUSlink*"

// Added 21st Feb 99 - New NEXUS Versions of Sensor Towers, etc.

Sys-NX-SensorTower			"*Sys-NX-SensorTower*"
Sys-NX-CBTower				"*Sys-NX-CBTower*"
Sys-NX-VTOL-CB-Tow			"*Sys-NX-VTOL-CB-Tow*"
Sys-NX-VTOL-RadTow			"*Sys-NX-VTOL-RadTow*"
NX-M-HvSam-Hover				"*NX-M-HvSam-Hover*"
NX-L-Link-Hov					"*NX-L-Link-Hov*"
NX-M-Bomb2-VTOL				"*NX-M-Bomb2-VTOL*"

// Latest Additions
NX-L-Flash-Hover			"*NX-L-Flash-Hover*"


//New Skirmish Units
Sk-PythonHvCanTrack			_("Heavy Cannon Python Tracks")
Sk-CobraBBHover				_("Bunker Buster Cobra Hover")

MP-Cyb-ATmiss-GRD			_("Scourge")
MP-Cyb-Laser1-GRD			_("Flashlight Gunner")


// Cam3NewTech starts here

// New Skirmish Units May28th wdg

SK-Bug-Hover-HMG				"*SK-Bug-Hover-HMG*"
SK-Cobra-Hover-BB				"*SK-Cobra-Hover-BB*"
SK-Cobra-Hover-HMG			"*SK-Cobra-Hover-HMG*"
SK-Cobra-Hover-Lancer			"*SK-Cobra-Hover-Lancer*"
SK-Cobra-Track-HVC			"*SK-Cobra-Track-HVC*"
SK-Cobra-Track-TK				"*SK-Cobra-Track-TK*"
SK-Leopard-Hover-Needle			"*SK-Leopard-Hover-Needle*"
SK-Leopard-HTrk-ASGun			"*SK-Leopard-HTrk-ASGun*"
SK-Leopard-Htrk-Needle			"*SK-Leopard-Htrk-Needle*"
SK-Leopard-Track-Lancer			"*SK-Leopard-Track-Lancer*"
SK-Mantis-Hover-Hcannon			"*SK-Mantis-Hover-Hcannon*"
SK-Mantis-Hover-HVC			"*SK-Mantis-Hover-HVC*"
SK-Panther-Hover-HVC			"*SK-Panther-Hover-HVC*"
SK-Panther-Hover-TK			"*SK-Panther-Hover-TK*"
SK-Panther-Htrk-ASGun			"*SK-Panther-Htrk-ASGun*"
SK-Panther-Htrk-BB			"*SK-Panther-Htrk-BB*"
SK-Panther-Track-HVC			"*SK-Panther-Track-HVC*"
SK-Panther-Track-RailGun		"*SK-Panther-Track-RailGun*"
SK-Panther-Track-TK			"*SK-Panther-Track-TK*"
SK-Python-Hover-Hcannon			"*SK-Python-Hover-Hcannon*"
SK-Python-Hover-Lancer			"*SK-Python-Hover-Lancer*"
SK-Python-Hover-Mcannon			"*SK-Python-Hover-Mcannon*"
SK-Python-Track-Hcannon			"*SK-Python-Track-Hcannon*"
SK-Retal-Track-Needle			"*SK-Retal-Track-Needle*"
SK-Retre-Hover-RailGun			"*SK-Retre-Hover-RailGun*"
SK-Retre-Hover-Scourge			"*SK-Retre-Hover-Scourge*"
SK-Retre-Htrk-Pepper			"*SK-Retre-Htrk-Pepper*"
SK-Retre-Track-FlashLight		"*SK-Retre-Track-FlashLight*"
SK-Retre-Track-PulseLsr			"*SK-Retre-Track-PulseLsr*"
SK-Retre-Track-RailGun			"*SK-Retre-Track-RailGun*"
SK-Retre-Track-Scourge			"*SK-Retre-Track-Scourge*"
SK-Scorp-Hover-ASGUN			"*SK-Scorp-Hover-ASGUN*"
SK-Scorp-Hover-BB				"*SK-Scorp-Hover-BB*"
SK-Scorp-Hover-Bombard			"*SK-Scorp-Hover-Bombard*"
SK-Scorp-Hover-Lancer			"*SK-Scorp-Hover-Lancer*"
SK-Scorp-Hover-Mcannon			"*SK-Scorp-Hover-Mcannon*"
SK-Tiger-Hover-ASCannon			"*SK-Tiger-Hover-ASCannon*"
SK-Tiger-Hover-Gauss			"*SK-Tiger-Hover-Gauss*"
SK-Tiger-Hover-Hcannon			"*SK-Tiger-Hover-Hcannon*"
SK-Tiger-Hover-HVC			"*SK-Tiger-Hover-HVC*"
SK-Tiger-Hover-Scourge			"*SK-Tiger-Hover-Scourge*"
SK-Tiger-Hover-TK				"*SK-Tiger-Hover-TK*"
SK-Tiger-Track-ASCannon			"*SK-Tiger-Track-ASCannon*"
SK-Tiger-Track-Gauss			"*SK-Tiger-Track-Gauss*"
SK-Tiger-Track-Hcannon			"*SK-Tiger-Track-Hcannon*"
SK-Tiger-Track-HVC			"*SK-Tiger-Track-HVC*"
SK-Tiger-Track-Scourge			"*SK-Tiger-Track-Scourge*"
SK-Tiger-Track-TK				"*SK-Tiger-Track-TK*"
SK-Veng-Hover-Gauss			"*SK-Veng-Hover-Gauss*"
SK-Veng-Hover-PulseLsr			"*SK-Veng-Hover-PulseLsr*"
SK-Veng-Hover-Scourge			"*SK-Veng-Hover-Scourge*"
SK-Veng-Track-Gauss			"*SK-Veng-Track-Gauss*"
SK-Veng-Track-PulseLsr			"*SK-Veng-Track-PulseLsr*"
SK-Veng-Track-Scourge			"*SK-Veng-Track-Scourge*"
SK-Bug-Hover-Sensor			"*SK-Bug-Hover-Sensor*"
SK-Bug-Hover-Repair			"*SK-Bug-Hover-Repair*"
SK-Leopard-Hover-Sensor			"*SK-Leopard-Hover-Sensor*"
SK-Leopard-Hover-Repair			"*SK-Leopard-Hover-Repair*"
SK-Panther-Track-Repair			"*SK-Panther-Track-Repair*"
SK-Retal-Hover-Repair			"*SK-Retal-Hover-Repair*"
SK-Retal-Hover-Sensor			"*SK-Retal-Hover-Sensor*"
SK-Bug-VTOL-CLBomb			"*SK-Bug-VTOL-CLBomb*"
SK-Bug-VTOL-BB				"*SK-Bug-VTOL-BB*"
SK-Scorpion-VTOL-BB			"*SK-Scorpion-VTOL-BB*"
SK-Scorpion-VTOL-Hbomb			"*SK-Scorpion-VTOL-Hbomb*"
SK-Mantis-VTOL-BB				"*SK-Mantis-VTOL-BB*"
SK-Leopard-VTOL-BB			"*SK-Leopard-VTOL-BB*"
SK-Leopard-VTOL-PhosBomb		"*SK-Leopard-VTOL-PhosBomb*"
SK-Panther-VTOL-Thermite		"*SK-Panther-VTOL-Thermite*"
SK-Panther-VTOL-BB			"*SK-Panther-VTOL-BB*"
SK-Panther-VTOL-Phosbomb		"*SK-Panther-VTOL-Phosbomb*"
SK-Panther-VTOL-TK			"*SK-Panther-VTOL-TK*"
SK-Retal-VTOL-Phosbomb			"*SK-Retal-VTOL-Phosbomb*"
SK-Retre-VTOL-Thermite			"*SK-Retre-VTOL-Thermite*"
SK-Retre-VTOL-PulseLsr			"*SK-Retre-VTOL-PulseLsr*"
SK-Retre-VTOL-Scourge			"*SK-Retre-VTOL-Scourge*"

// added by keith 26th may 1999 for 005 patch
MP-Cyb-Needle-GRD				_("Needle Gunner")

// New Cyborgs - Thermite and Grenadier
R-Cyborg-Wpn-Thermite			"*NOT USED Thermite Flamer Cyborg*"
Cyb-Bod-Thermite				"*Thermite Body*"
Cyb-Thermite				_("Thermite Flamer")

R-Cyborg-Wpn-Grenade			"*NOT USED Grenadier Cyborg*"
Cyb-Bod-Grenade				"*Grenadier Body*"
Cyb-Gren					_("Grenadier")

// New Cyborgs - added by Marc 8th June 1999 Combat Engineer & Mechanic

R-Cyborg-Sys-ComEng			"*NOT USED Combat Engineer*"
Cyb-Bod-ComEng				"*Combat Engineer*"
Cyb-ComEng					_("Combat Engineer")

R-Cyborg-Sys-Mechanic			"*NOT USED Cyborg Mechanic*"
Cyb-Bod-Mechanic				"*Cyborg Mechanic*"
Cyb-Mechanic				_("Cyborg Mechanic")

// added by Marc 9th June 1999 Incendiary Howitzer/Incendiary Mortar/Plasmite Flamer/Heavy Repair




// added by Marc 15th June 1999 Tech 2 Super-Cyborgs and Heavy Laser

Cyb-Hvy-Mcannon				_("Super Heavy-Gunner")
Cyb-Hvybod-Mcannon			_("Super Heavy-Gunner")

Cyb-Hvy-Acannon				_("Super Auto-Cannon Cyborg")
Cyb-Hvybod-Acannon			_("Super Auto-Cannon Cyborg")

Cyb-Hvy-HPV					_("Super HPV Cyborg")
Cyb-Hvybod-HPV				_("Super HPV Cyborg")

Cyb-Hvy-TK					_("Super Tank-Killer Cyborg")
Cyb-Hvybod-TK				_("Super Tank-Killer Cyborg")


// added by SEBG 17 June 1999



R-Sys-Sensor-SatLink			_("Satellite Uplink Center")
LasSatCommandSensor			"*LasSatCommandSensor*"

// added by SEBG 5 July 1999

SK-Veng-Track-C6TwinAslt	"*SK-Veng-Track-C6TwinAslt*"
SK-Veng-Track-HvyLaser		"*SK-Veng-Track-HvyLaser*"
SK-Veng-Hover-Seraph		"*SK-Veng-Hover-Seraph*"
Dragon-Hover-SeraphGauss	"*SK-Dragon-Hover-SeraphGauss*"


// added by Marc 23rd June 1999 Tech 3 Super-Cyborgs, Plasma Cannon and EMP Cannon



Cyb-Hvy-PulseLsr				_("Super Pulse Laser Cyborg")
Cyb-Hvybod-PulseLsr			_("Super Pulse Laser Cyborg")

Cyb-Hvy-RailGunner			_("Super Rail-Gunner")
Cyb-Hvybod-RailGunner			_("Super Rail-Gunner")

Cyb-Hvy-A-T					_("Super Scourge Cyborg")
Cyb-Hvybod-A-T				_("Super Scourge Cyborg")



// added by SEBG for September patch





// added by Marc 1st September - Super Heavy bodies, Flamer Upgrades




// added by Marc 13th September - EMP Mortar, AA laser, AA Hardpoints, Sam Hardpoints


// added by Marc 15th September - Twin Rotary MG, VTOL Plasmite Bomb and VTOL EMP Missile Launcher



// added by Marc 15th September - Upgraded Command Turrets

CommandTurret2				_("Command Turret II")
R-Comp-CommandTurret02			_("Command Turret II")
CommandTurret3				_("Command Turret III")
R-Comp-CommandTurret03			_("Command Turret III")
CommandTurret4				_("Command Turret IV")
R-Comp-CommandTurret04			_("Command Turret IV")

/////////////////
//NEW TEMPLATES//
/////////////////

/* Aivolution */
//TransporterU				_("Unit transport")
//TransporterBodyU			_("Unit transport Body")
//R-Cyborg-TransportU			_("Unit transport")
CobraHRepairHover			_("Heavy Repair Turret Cobra Hover")
ViperHMGWheels				_("Heavy Machinegun Viper Wheels")
Scourge-Mantis-H			_("Scourge Mantis Hover")
TK-Mantis-H				_("Tank Killer Mantis Hover")
CobraHMGTracks				_("Heavy Machinegun Cobra Tracks")
Cobra-Hover-HC				_("Heavy Cannon Cobra Hover")

//======================================================================
//GK
//======================================================================
A-Viper-Wheels-MG			_("Machinegun Viper Wheels")
A-Viper-Wheels-TMG			_("Twin Machinegun Viper Wheels")
A-Viper-Wheels-HMG			_("Heavy Machinegun Viper Wheels")
A-Cobra-Wheels-HMG			_("Heavy Machinegun Cobra Wheels")
A-Cobra-Hover-HMG			_("Heavy Machinegun Cobra Hover")

A-Viper-Trk-MG				_("Machinegun Viper Tracks")
A-Viper-Trk-TMG				_("Twin Machinegun Viper Tracks")
A-Viper-Trk-HMG				_("Heavy Machinegun Viper Tracks")
A-Cobra-Trk-HMG				_("Heavy Machinegun Cobra Tracks")

A-Cobra-Hover-MC			_("Medium Cannon Cobra Hover")
A-Scorp-Hover-MC			_("Medium Cannon Scorpion Hover")
A-Scorp-Trk-MC				_("Medium Cannon Scorpion Tracks")
A-Python-Hover-MC			_("Medium Cannon Python Hover")
A-Python-Hover-HC			_("Heavy Cannon Python Hover")
A-Python-Trk-HC				_("Heavy Cannon Python Tracks")
A-Mantis-Trk-Rail			_("Rail Gun Mantis Tracks")
A-Mantis-Trk-Pulse			_("Pulse Laser Mantis Tracks")
A-Python-Trk-Lancer			_("Lancer Python Tracks")
A-Mantis-Trk-Lancer			_("Lancer Mantis Tracks")
A-Veng-Trk-TK				_("Tank Killer Vengeance Tracks")

//A-Python-Trk-HLaser			_("Heavy Laser Python Tracks")
//A-Python-Trk-Scour			_("Scourge Python Tracks")

A-Tiger-Trk-HC				_("Heavy Cannon Tiger Tracks")
A-Tiger-Trk-Needle			_("Needle Gun Tiger Tracks")
A-Retrib-Trk-Needle			_("Needle Gun Retribution Tracks")
A-Veng-Trk-Needle			_("Needle Gun Vengeance Tracks")
A-Veng-Trk-Rail				_("Vengeance Tracks Rail Gun")
A-Veng-Trk-Guass			_("Vengeance Tracks Gauss Cannon")
A-Veng-Trk-Scourge			_("Vengeance Tracks Gauss Scourge")

//Anti Structure VTOLs
V-Bug-ClusterBomb			_("VTOL Cluster Bomb Bay Bug VTOL")
V-Bug-BB				_("VTOL Bunker Buster Bug VTOL")
V-Scor-ClusterBomb			_("VTOL Cluster Bomb Bay Scorpion VTOL")
V-Scor-BB				_("VTOL Bunker Buster Scorpion VTOL")

//Anti Tank VTOLs
V-Bug-Lancer				_("VTOL Lancer Bug VTOL")
V-Bug-HPV				_("VTOL Hyper Velocity Cannon Bug VTOL")
V-Scor-Lancer				_("VTOL Lancer Scorpion VTOL")
V-Scor-HPV				_("VTOL Hyper Velocity Cannon Scorpion VTOL")
V-Mantis-Lancer				_("VTOL Lancer Mantis VTOL")
V-Mantis-HPV				_("VTOL Hyper Velocity Cannon Mantis VTOL")

//Repair
A-Rep-Cobra-Trk				_("Repair Turret Cobra Tracks")
A-Rep-Mantis-Trk			_("Repair Turret Mantis Tracks")

H-Scorp-Trk-Lancer			_("Lancer Scorpion Tracks")
H-Scorp-Trk-HC				_("Heavy Cannon Scorpion Tracks")
H-Scorp-VTOL-Lancer			_("Lancer Scorpion VTOL")
H-Scorp-VTOL-BB				_("Bunker Buster Scorpion VTOL")

Viper-Trk-Com				_("Command Turret Viper Tracks")
Cobra-Trk-Com				_("Command Turret Cobra Tracks")
Scorp-Trk-Com				_("Command Turret Scorpion Tracks")
Mantis-Trk-Com				_("Command Turret Mantis Tracks")

CobraTrkLancer				_("Lancer Cobra Tracks")
MantisTrkHC				_("Heavy Cannon Mantis Tracks")
MantisTKTracks				_("Tank Killer Mantis Tracks")
MantisScourgeTracks			_("Scourge Mantis Tracks")
ScorpTrkHMG				_("Heavy Machinegun Scorpion Tracks")

ScorpRepairTrk				_("Repair Scorpion Tracks")
ScorpHRepairHover			_("Heavy Repair Scorpion Hover")

// Hover Truck Templates
CobraHoverTruck				_("Truck Cobra Hover")
ScorpHoverTruck				_("Truck Scorpion Hover")
MantisHoverTruck			_("Truck Mantis Hover")

// Bunker Buster Templates
CobraBBTracks				_("Bunker Buster Cobra Tracks")
ScorpBBTracks				_("Bunker Buster Scorpion Tracks")
MantisBBTracks				_("Bunker Buster Mantis Tracks")

ViperTrkLancer				_("Lancer Viper Tracks")

CobraPODHTracks				_("Mini-Rocket Cobra Half-Tracks")
CobraPODTracks				_("Mini-Rocket Cobra Tracks")
CobraMRLTracks				_("Mini-Rocket Array Cobra Tracks")

CobraInfernoHTracks			_("Inferno Cobra Half-Tracks")
PythonHoverHVC				_("Hyper Velocity Cannon Python Hover")

PythonTKTracks				_("Tank Killer Python Tracks")
PythonMedCanTracks			_("Medium Cannon Python Tracks")
PythonScourgeTracks			_("Scourge Python Tracks")
PythonGaussTracks			_("Gauss Cannon Python Tracks")
PythonPulseTracks			_("Pulse Laser Python Tracks")
TigerPulseTracks			_("Pulse Laser Tiger Tracks")
TigerHvLaserTracks			_("Heavy Laser Tiger Tracks")
WyvernGaussTracks			_("Gauss Cannon Wyvern Tracks")
WyvernPulseTracks			_("Pulse Laser Wyvern Tracks")
WyvernHvLaserTracks			_("Heavy Laser Wyvern Tracks")

ViperLtMGHalfTracks			_("Machinegun Viper Half-Tracks")
ViperFlameHalfTracks		_("Flamer Viper Half-Tracks")

//Added for DyDo-AI
CobraInfernoHover			_("Inferno Cobra Hover")
CobraMedCnHTrks			  _("Medium Cannon Cobra Half Track")
PythonHoverInferno		_("Inferno Python Hover")
PhytonHoverAssGun     _("Assault Gun Python Hover")
PhytonHTrackAssGun    _("Assault Gun Python Half Track")
ScorpHTrackHMG			  _("Heavy Machinegun Scorpion Half Tracks")
MantisHoverAC         _("Assault Cannon Mantis Hover")
LeopardHoverPulseLas  _("Pulse Laser Leopard Hover")
PantherHoverPulseLas  _("Pulse Laser Panther Hover")
TigerHoverRailGun     _("Rail Gun Tiger Hover")
TigerHoverPulseLas  	_("Pulse Laser Tiger Hover")
WyvernPlasmaCTracks  	_("Plasma Cannon Wyvern Tracks")
WyvernScourgeTracks  	_("Scourge Missile Wyvern Tracks")
RetreHoverFlashLight  _("Flashlight Retribution Hover")
ViperPODHalfTracks    _("Mini-Rocket Viper Half Track")
ViperMRLHalfTracks    _("Mini-Rocket Array Viper Half Track")
SK-Mantis-VTOL-PBB    _("Phosphor Bomb Bay Mantis VTOL")
SK-Mantis-VTOL-HBB    _("Heap Bomb Bay Mantis VTOL")
SK-Retre-VTOL-HBB     _("Heap Bomb Bay Retribution VTOL")
SK-Retal-VTOL-Scourge _("Scourge Retaliation VTOL")
SK-Retre-VTOL-Plasmite	_("Plasmite Retribution VTOL")


// new features by Mysteryem
