Weapon key,Unused,price,buildPoints,weight,Unused,Unused,HP,GfxFile,MountGfx,muzzleGfx,flightGfx,hitGfx,missGfx,waterGfx,trailGfx,shortRange,longRange,shortHit,longHit,firePause,Unused,numRounds,reloadTime,damage,splash radius,splash chance,splash damage,incenTime,incenDamage,incenRadius,directLife,radiusLife,flightSpeed,Unused,fireOnMove,weaponClass,weaponSubClass,movement,weaponEffect,rotate,maxElevation,minElevation,facePlayer,faceInFlight,recoilValue,minRange,LightWorld,effectSize,surfaceToAir,numAttackRuns,designable,penetrate
Laser2PULSEMk1,Level Three,200,800,500,1,10,180,GNMLAS.PIE,TRMLAS.PIE,FXLasRot.PIE,FXPLAmmo.PIE,FXLENFL.PIE,FXLENFL.PIE,FXMExp.PIE,0,1792,1792,80,80,40,1,0,0,165,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,15,0,YES,100,100,0,1,0
Laser2PULSE-VTOL,Level Three,200,800,500,1,10,180,GNMLAS.PIE,TRMLAS.PIE,FXLasRot.PIE,FXPLAmmo.PIE,FXLENFL.PIE,FXLENFL.PIE,FXMExp.PIE,0,1792,1792,80,80,40,1,4,15,320,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,15,-90,YES,NO,15,0,YES,100,100,2,1,0
Howitzer150Mk1,Level Two-Three,350,1250,10000,5,10,10,GNHHOWT.PIE,TRHHOWT.PIE,FXHHowt.PIE,FXCAmmo.PIE,FXVLExp.PIE,FXVLExp.PIE,FXLSplsh.PIE,0,1920,8192,40,50,250,2,0,0,350,256,100,350,0,0,0,0,10,1500,20,NO,KINETIC,HOWITZERS,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,250,128,YES,200,0,0,1,0
Howitzer105Mk1,Level Two-Three,250,1000,10000,1,10,10,GNMHOWT.PIE,TRMHOWT.PIE,FxCan75m.PIE,FXCAmmo.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,1920,5120,40,50,110,2,0,0,150,192,100,150,0,0,0,10,10,1500,20,NO,KINETIC,HOWITZERS,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,250,128,YES,250,0,0,1,0
Howitzer03-Rot,Level Two-Three,400,1600,10000,1,10,10,GNHHOWT2.PIE,TRHHOW2.PIE,FXHHowt2.PIE,FXCAmmo.PIE,FXLExp.PIE,FXLExp.PIE,FXLSplsh.PIE,0,1920,7040,40,50,50,2,0,0,120,192,100,120,0,0,0,0,10,1500,20,NO,KINETIC,HOWITZERS,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,250,128,YES,200,0,0,1,0
Howitzer-Incenediary,Level Two-Three,300,1000,10000,1,10,10,GNMHOWTI.PIE,TRMHOWT.PIE,FxCan75m.PIE,FXCAmmo.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,1920,4992,40,50,120,2,0,0,200,192,100,200,60,28,192,10,10,1500,20,NO,HEAT,HOWITZERS,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,250,128,YES,250,0,0,1,0
HeavyLaser-VTOL,Level Three,400,600,5000,1,10,300,GNHLAS.PIE,TRHLAS.PIE,FXLasRot.PIE,FXPLAmmo.PIE,FXLENFL.PIE,FXLENFL.PIE,FXMExp.PIE,0,2048,2048,80,80,60,1,2,20,720,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,150,0,YES,100,0,2,1,0
HeavyLaser,Level Three,400,600,20000,1,10,300,GNHLAS.PIE,TRHLAS.PIE,FXLasRot.PIE,FXPLAmmo.PIE,FXLENFL.PIE,FXLENFL.PIE,FXMExp.PIE,0,2048,2048,80,80,60,1,0,0,380,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,150,0,YES,100,0,0,1,0
Flame2,Level All,110,400,5000,1,10,45,GNMFLMR.PIE,TRMFLMR.PIE,FXCan20m.PIE,FXLProj.PIE,FXMNExp.PIE,FXMNExp.PIE,FXSSplsh.PIE,0,384,512,75,50,20,1,0,0,40,0,0,0,50,28,48,10,0,700,20,YES,HEAT,FLAME,DIRECT,FLAMER,180,90,-60,YES,NO,0,64,YES,1,0,0,1,1
Flame1Mk1,Level All,60,200,250,1,10,10,GNLFLMR.PIE,TRLFLMR.PIE,FXCan20m.PIE,FXLThrow.PIE,FXMETHIT.PIE,FXMETHIT.PIE,FXMETHIT.PIE,0,256,384,90,40,20,1,0,0,28,0,0,0,50,20,32,10,0,700,20,YES,HEAT,FLAME,DIRECT,FLAMER,180,90,-60,YES,NO,0,64,YES,1,0,0,1,1
EMP-Cannon,Level All,200,800,10000,1,20,500,gnhemp.PIE,trhemp.PIE,FXHBLas.PIE,FXBeam.PIE,FXSFlms.PIE,FXSFlms.PIE,FXSFlms.PIE,0,768,1536,70,50,80,1,0,0,70,256,100,0,0,0,0,10,0,1500,20,YES,KINETIC,EMP,DIRECT,ANTI AIRCRAFT,180,90,-60,YES,NO,150,0,YES,1,0,0,1,0
CyborgRotMG,Level All,90,270,120,1,10,70,cy_gun.pie,Cybody.pie,FXLMgun2.PIE,fxtracerh.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,896,70,50,5,1,0,0,18,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,20,0,NO,100,100,0,0,0
CyborgRocket,Level All,125,500,120,1,10,60,cy_rkt.PIE,cybody.PIE,FXLRocPd.PIE,FXMPLME.PIE,fxmexp.PIE,fxmexp.PIE,fxssplsh.PIE,0,640,960,50,60,160,2,0,0,160,0,0,0,0,0,0,0,10,1800,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-60,YES,YES,0,64,YES,25,100,0,0,0
CyborgFlamer01,Level All,55,200,120,1,10,10,cy_flame.pie,Cybody.pie,FXCan20m.PIE,FXLThrow.PIE,FXMETHIT.PIE,FXMETHIT.PIE,FXMETHIT.PIE,0,256,384,80,40,18,1,0,0,22,0,0,0,40,16,32,10,0,700,20,YES,HEAT,FLAME,DIRECT,FLAMER,180,90,-60,YES,NO,0,64,YES,1,0,0,0,1
CyborgChaingun,Level All,40,160,120,1,10,70,cy_gun.pie,Cybody.pie,FXLMgun2.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,768,70,50,6,1,0,0,12,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,20,0,NO,100,100,0,0,0
CyborgCannon,Level All,60,240,120,1,1,80,cy_CAN.pie,Cybody.pie,FXCan20m.PIE,FXcam20.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,758,70,50,30,2,0,0,40,64,100,20,0,0,0,10,0,1500,20,YES,KINETIC,CANNON,DIRECT,ANTI AIRCRAFT,180,90,-60,YES,NO,100,0,YES,25,0,0,0,0
Cyb-Wpn-Thermite,Level All,100,320,120,1,10,60,cy_therm.pie,Cybody.pie,FXCan20m.PIE,FXLThrow.PIE,FXMETHIT.PIE,FXMETHIT.PIE,FXMETHIT.PIE,0,256,384,80,40,18,1,0,0,38,0,0,0,40,26,32,10,0,700,20,YES,HEAT,FLAME,DIRECT,FLAMER,180,90,-60,YES,NO,0,64,YES,1,0,0,0,1
Cyb-Wpn-Rail1,Level All,160,800,120,1,20,90,CY_RAIL.PIE,Cybody.PIE,FXLGauss.PIE,FXGAmmo.PIE,FXFlecht.PIE,FXFlecht.PIE,FXFlecht.PIE,0,768,1536,80,70,36,1,0,0,120,64,100,60,0,0,0,10,0,1500,20,YES,KINETIC,GAUSS,DIRECT,ANTI AIRCRAFT,180,90,-60,YES,NO,50,0,NO,100,0,0,0,0
Cyb-Wpn-Laser,Level All,100,600,120,1,10,70,CY_LAS.PIE,Cybody.PIE,FXLasRot.PIE,FXLFLSH.PIE,FXFLSHL.PIE,FXFLSHL.PIE,FXFLSHL.PIE,0,1536,1536,80,80,20,1,0,0,90,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,10,0,YES,100,100,0,0,0
Cyb-Wpn-Grenade,Level All,80,320,120,1,10,70,cy_gren.pie,Cybody.pie,FxCan75m.PIE,FXTracer.PIE,FXLExp.PIE,FXLExp.PIE,FXLSplsh.PIE,0,768,1536,60,70,60,1,0,0,60,128,100,40,0,0,0,0,10,1200,20,NO,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,0,90,-60,YES,NO,0,64,YES,50,0,0,0,0
Cyb-Wpn-Atmiss,Level All,250,1000,120,1,10,60,CY_MISS.PIE,Cybody.PIE,FXATMiss.PIE,FXMPLME.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,640,1536,70,80,100,2,0,0,460,0,0,0,0,0,0,0,0,1350,20,YES,KINETIC,MISSILE,HOMING-DIRECT,ANTI TANK,180,90,-60,YES,NO,20,64,YES,50,100,0,0,0
Cyb-Hvywpn-TK,Level Two,250,700,120,1,1,90,sc_tk.pie,scbody.pie,FXLRocPd.PIE,FXMPLME.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,1280,50,60,180,2,0,0,300,0,0,0,0,0,0,10,10,1500,60,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-60,YES,NO,25,0,YES,50,0,0,0,0
Cyb-Hvywpn-RailGunner,Level Three,240,750,120,1,1,120,sc_rail2.pie,scbody.pie,FXMGauss.PIE,FXGammoM.PIE,FXflech2.PIE,FXflech2.PIE,FXMSWave.PIE,0,768,1024,80,70,50,1,0,0,240,128,100,80,0,0,0,0,0,1650,20,YES,KINETIC,GAUSS,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,0,0,YES,100,0,0,0,0
Cyb-Hvywpn-PulseLsr,Level Three,150,450,120,1,1,100,sc_pulse.pie,scbody.pie,FXLasRot.PIE,FXPLAmmo.PIE,FXLENFL.PIE,FXLENFL.PIE,FXMExp.PIE,0,1792,1792,80,80,40,1,0,0,155,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,15,0,YES,100,100,0,0,0
Cyb-Hvywpn-Mcannon,Level Two,75,300,120,1,1,110,sc_can.pie,scbody.pie,FXCan40m.PIE,FXCAmmo.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,758,70,55,42,2,0,0,75,96,100,40,0,0,0,10,0,1500,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,100,0,YES,25,0,0,0,0
Cyb-Hvywpn-HPV,Level Two-Three,150,450,120,1,1,100,sc_hpvcn.pie,scbody.pie,FXCan20A.PIE,FXTracer.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,758,1152,65,65,40,2,0,0,70,32,100,25,0,0,0,10,0,2250,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,100,0,YES,25,100,0,0,0
Cyb-Hvywpn-Acannon,Level Two,125,400,120,1,1,110,sc_asscn.pie,scbody.pie,FXVulCan.PIE,FXTracer.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,640,896,60,50,15,2,0,0,35,96,100,25,0,0,0,10,0,1500,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,25,0,YES,25,0,0,0,0
Cyb-Hvywpn-A-T,Level Three,235,1000,120,1,1,90,sc_ATM.pie,scbody.pie,FXATMiss.PIE,FXMPLME.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,640,1792,70,80,80,2,0,0,460,0,0,0,0,0,0,0,10,1350,20,YES,KINETIC,MISSILE,HOMING-DIRECT,ANTI TANK,180,90,-60,YES,NO,20,64,YES,50,100,0,0,0
CommandTurret4,Level All,1750,2000,1000,0,1,1600,GNLCMD1.PIE,TRLCMD1.PIE,FXHBLas.PIE,FXBeam.PIE,FXSFlms.PIE,FXSFlms.PIE,FXSFlms.PIE,0,2304,2304,100,100,1,1,0,0,8,0,0,0,0,0,0,0,0,2500,0,YES,HEAT,COMMAND,HOMING-DIRECT,ALL ROUNDER,180,90,-30,YES,NO,0,0,YES,1,100,0,0,0
CommandTurret3,Level All,1250,1500,1000,0,1,1400,GNLCMD1.PIE,TRLCMD1.PIE,FXHBLas.PIE,FXBeam.PIE,FXSFlms.PIE,FXSFlms.PIE,FXSFlms.PIE,0,2048,2048,100,100,1,1,0,0,7,0,0,0,0,0,0,0,0,2500,0,YES,HEAT,COMMAND,HOMING-DIRECT,ALL ROUNDER,180,90,-30,YES,NO,0,0,YES,1,100,0,0,0
CommandTurret2,Level All,750,1000,1000,0,1,1200,GNLCMD1.PIE,TRLCMD1.PIE,FXHBLas.PIE,FXBeam.PIE,FXSFlms.PIE,FXSFlms.PIE,FXSFlms.PIE,0,1792,1792,100,100,1,1,0,0,6,0,0,0,0,0,0,0,0,2500,0,YES,HEAT,COMMAND,HOMING-DIRECT,ALL ROUNDER,180,90,-30,YES,NO,0,0,YES,1,100,0,0,0
CommandTurret1,Level All,250,500,1000,0,1,1000,GNLCMD1.PIE,TRLCMD1.PIE,FXHBLas.PIE,FXBeam.PIE,FXSFlms.PIE,FXSFlms.PIE,FXSFlms.PIE,0,1536,1536,100,100,1,1,0,0,4,0,0,0,0,0,0,0,0,2500,0,YES,HEAT,COMMAND,HOMING-DIRECT,ALL ROUNDER,180,90,-30,YES,NO,0,0,YES,1,100,0,0,0
Cannon6TwinAslt,Level Two-Three,250,800,5000,1,25,500,Gnhvcan2.pie,trhvcan2.PIE,FXLMgun2.PIE,FXTracr2.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,768,1024,60,50,15,2,0,0,50,192,100,40,0,0,0,10,0,1600,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,35,0,YES,50,0,0,1,0
Cannon5VulcanMk1,Level Two-Three,150,800,2500,1,25,300,GNMVCAN.PIE,TRMVCAN.PIE,FXVulCan.PIE,FXTracer.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,768,1024,60,50,15,2,0,0,40,128,100,35,0,0,0,10,0,1600,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,25,0,YES,50,0,0,1,0
Cannon5Vulcan-VTOL,Level All,150,800,1250,1,25,300,GNMVCAN.PIE,TRMVCAN.PIE,FXVulCan.PIE,FXTracer.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,768,1024,60,50,15,2,0,0,70,128,100,45,0,0,0,10,0,1600,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,0,-60,YES,NO,25,0,YES,50,0,8,1,0
AAGun2Mk1,Level All,250,450,10000,1,20,250,gnmair2.pie,trmair2.pie,FxCan75m.PIE,FXCAmmo.PIE,FXAIREXP.PIE,FXAIREXP.PIE,FXSSplsh.PIE,0,1280,1536,80,65,65,2,0,0,110,256,100,120,0,0,0,10,100,2250,20,YES,KINETIC,CANNON,HOMING-DIRECT,ANTI TANK,180,90,-45,YES,NO,100,0,YES,100,1,0,1,0
Cannon4AUTOMk1,Level Two-Three,175,700,4000,1,22,250,GNLACAN.PIE,TRLACAN.PIE,FXCan20A.PIE,FXTracer.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,768,1280,65,65,43,2,0,0,70,32,100,35,0,0,0,10,10,1800,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,100,0,YES,50,100,0,1,0
Cannon4AUTO-VTOL,Level All,175,700,2000,1,22,250,GNLACAN.PIE,TRLACAN.PIE,FXCan20A.PIE,FXTracer.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,768,1280,65,65,50,2,0,0,140,32,100,70,0,0,0,10,10,2250,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,15,-60,YES,NO,100,0,YES,50,100,4,1,0
Cannon375mmMk1,Level All,250,800,10000,1,20,500,GNHCAN.PIE,TRHCAN.PIE,FxCan75m.PIE,FXCAmmo.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,768,1088,70,55,60,2,0,0,120,192,100,60,0,0,0,10,100,1500,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,150,0,YES,90,0,0,1,0
Cannon2A-TMk1,Level All,150,500,5000,1,14,350,GNMCAN.PIE,TRMCAN.PIE,FXCan40m.PIE,FXCAmmo.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXMSteam.PIE,0,640,1024,70,55,40,2,0,0,60,128,100,30,0,0,0,10,100,1500,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,100,0,YES,60,0,0,1,0
Cannon1Mk1,Level All,75,375,1000,1,15,250,GNLCAN.PIE,TRLCAN.PIE,FXCan20m.PIE,FXcam20.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,640,960,70,55,30,2,0,0,35,64,100,18,0,0,0,10,100,1500,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-90,YES,NO,100,0,YES,30,0,0,1,0
Cannon1-VTOL,Level All,75,375,1000,1,15,250,GNLCAN.PIE,TRLCAN.PIE,FXCan20m.PIE,FXcam20.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,640,960,70,55,40,2,0,0,70,96,100,35,0,0,0,10,100,1500,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,0,-90,YES,NO,100,0,YES,30,0,4,1,0
BusCannon,Level One,10,10,10,10,10,10,GNLCAN.pie,Exturret.pie,FXLMgun.PIE,FXTracer.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,640,960,60,50,30,1,0,0,28,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-30,YES,NO,100,0,YES,25,0,0,0,0
BuggyMG,Level One-Two,3,11,1,1,1,1,0,0,FXLMgun.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,640,960,60,50,5,1,0,0,16,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-30,YES,NO,100,0,NO,100,0,0,0,0
bTrikeMG,Level One,2,11,1,1,1,1,0,0,FXLMgun.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,640,960,60,50,5,1,0,0,13,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-30,YES,NO,100,0,NO,100,0,0,0,0
BTowerMG,Level All,12,16,1,1,1,1,0,0,FXLMgun.PIE,FXTracRD.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,640,960,70,50,5,1,0,0,16,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-30,YES,NO,100,0,NO,100,0,0,0,0
Bomb6-VTOL-EMP,Level Three,225,1000,7500,1,10,120,0,TRMVTLEM.PIE,FXLRocPd.PIE,FXLBMBE2.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,384,80,80,100,1,0,0,0,0,0,0,0,0,0,10,10,475,20,YES,KINETIC,EMP,ERRATIC-DIRECT,ARTILLERY ROUND,180,0,-80,YES,NO,10,0,YES,100,0,1,1,0
Bomb5-VTOL-Plasmite,Level Three,225,2000,15000,1,10,600,0,TRMVTLPL.PIE,FXLRocPd.PIE,FXLBMBP2.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,384,80,80,100,1,0,0,1000,256,100,875,200,115,512,10,10,475,20,YES,HEAT,BOMB,ERRATIC-DIRECT,ARTILLERY ROUND,180,0,-80,YES,NO,10,0,YES,100,0,1,1,0
Bomb4-VTOL-HvyINC,Level Two-Three,225,1500,3800,1,10,360,0,trmvtlin.PIE,FXLRocPd.PIE,Fxmbmbi2.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,384,80,80,10,10,5,100,370,0,0,0,200,95,192,10,10,475,20,YES,HEAT,BOMB,ERRATIC-DIRECT,ARTILLERY ROUND,180,0,-80,YES,NO,10,0,YES,100,0,1,1,0
Bomb3-VTOL-LtINC,Level Two-Three,175,700,2400,1,10,320,0,trlvtlin.PIE,FXLRocPd.PIE,Fxlbmbi1.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,384,80,80,10,10,6,100,100,0,0,0,200,50,128,10,0,475,20,YES,HEAT,BOMB,ERRATIC-DIRECT,ARTILLERY ROUND,180,0,-80,YES,NO,10,0,YES,50,0,1,1,0
Bomb2-VTOL-HvHE,Level Two-Three,200,800,3800,1,10,480,0,trmvtlhe.PIE,FXLRocPd.PIE,Fxmbmbx2.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,384,80,80,10,10,3,100,500,256,100,300,0,0,0,10,10,475,20,YES,KINETIC,BOMB,ERRATIC-DIRECT,ARTILLERY ROUND,180,0,-80,YES,NO,10,0,YES,200,0,1,1,0
Bomb1-VTOL-LtHE,Level Two-Three,150,600,2400,1,10,420,0,trlvtlhe.PIE,FXLRocPd.PIE,Fxlbmbx1.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,384,80,80,10,10,3,100,120,192,100,72,0,0,0,10,10,475,20,YES,KINETIC,BOMB,ERRATIC-DIRECT,ARTILLERY ROUND,180,0,-80,YES,NO,10,0,YES,100,0,1,1,0
BJeepMG,Level One,4,16,1,1,1,1,0,0,FXLMgun.PIE,FXTracRD.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,640,960,60,50,5,1,0,0,14,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-30,YES,NO,20,0,NO,100,0,0,0,0
BabaRocket,Level One,10,10,100,1,10,10,scavmra.pie,TRLRCKT.PIE,FXLRocPd.PIE,FXMFLARE.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,640,960,30,20,1,2,6,100,20,64,100,20,0,0,0,0,10,1800,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,0,90,-30,YES,NO,0,128,YES,50,0,0,0,0
BabaPitRocketAT,Level One,100,500,500,1,10,20,GNLMSL.PIE,TRLRCKT.PIE,FXLRocPd.PIE,FXMRocAt.PIE,FXSExp.PIE,FXSExp.PIE,FXSSplsh.PIE,0,640,960,50,30,3,2,2,120,50,0,0,0,0,0,0,0,10,1800,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-30,YES,NO,0,128,YES,100,0,0,0,0
BabaPitRocket,Level One,75,375,250,1,10,10,GNLRCKTP.PIE,TRLRCKTP.PIE,FXLRocPd.PIE,FXMFLARE.PIE,FXMPExp.PIE,FXMPExp.PIE,FXSSplsh.PIE,0,640,960,60,30,6,2,0,0,16,0,0,0,0,0,0,10,10,1800,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-30,YES,NO,10,128,YES,25,0,0,0,0
BaBaMG,Level One-Two,1,1,1,1,1,1,0,0,FXLMgun.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,640,960,50,40,4,1,0,0,10,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,0,90,-30,YES,NO,20,0,NO,100,0,0,0,0
BabaFlame,Level One,40,200,10,1,10,35,GNLFLMR.PIE,TRLFLMR.PIE,FXCan20m.PIE,FXLThrow.PIE,FXMETHIT.PIE,FXMETHIT.PIE,FXMETHIT.PIE,0,256,384,90,40,120,1,0,0,25,0,0,0,80,10,32,10,0,700,20,NO,HEAT,FLAME,DIRECT,FLAMER,180,90,-60,YES,NO,0,64,YES,1,0,0,0,0
BaBaCannon,Level All,10,10,10,10,10,10,0,0,FXLMgun.PIE,FXTracer.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,640,960,60,40,30,1,0,0,28,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,CANNON,DIRECT,ALL ROUNDER,180,90,-30,YES,NO,100,0,YES,25,0,0,0,0
AAGunLaser,Level Three,500,1600,10000,1,20,200,gnhaalas.PIE,Trhmslsa.PIE,FXLasRot.PIE,FXPLAmmo.PIE,FXLENFL.PIE,FXLENFL.PIE,FXMExp.PIE,0,768,2048,80,80,1,2,2,10,225,0,0,0,0,0,0,10,100,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI TANK,180,90,-45,YES,NO,100,0,YES,100,1,0,1,0
