Structure key,Type,Unused,Strength,Unused,Base Width,Base Breadth,Unused,Build points,Height,Armour,Body points,Unused,Build power,Unused,Resistance,Unused,Unused,ECM key,Sensor key,Weapon Slots,Structure model,Base model,Functions,Weapons
WallTower-Rail3,DEFENSE,Level Three,HARD,0,1,1,Concrete,400,2,15,800,10,400,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower-SamHvy,DEFENSE,Level Three,HARD,0,1,1,Concrete,400,2,15,800,10,400,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower-SamSite,DEFENSE,Level Three,HARD,0,1,1,Concrete,400,2,15,800,10,400,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower-TwinAssaultGun,DEFENSE,Level Three,HARD,0,1,1,Concrete,400,2,15,800,10,250,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower01,DEFENSE,Level All,HARD,0,1,1,Concrete,400,2,15,800,10,100,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower02,DEFENSE,Level All,HARD,0,1,1,Concrete,400,2,15,800,10,125,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower03,DEFENSE,Level All,HARD,0,1,1,Concrete,400,2,15,800,10,200,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower04,DEFENSE,Level All,HARD,0,1,1,Concrete,400,2,15,800,10,250,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower05,DEFENSE,Level All,HARD,0,1,1,Concrete,400,2,15,800,10,100,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WallTower06,DEFENSE,Level All,HARD,0,1,1,Concrete,400,2,15,800,10,175,10,150,255,1,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
WreckedTransporter,DEFENSE,Level All,BUNKER,0,3,3,Concrete,10,2,12,600,1,100,1,0,255,1,ZNULLECM,ZNULLSENSOR,1,drtrans.pie,0,0,0
X-Super-Cannon,DOOR,Level All,HARD,0,2,2,Concrete,1600,2,15,3200,10,1000,10,100,255,1,ZNULLECM,FortressSensor,1,STWPFCAN.PIE,0,0,1
X-Super-MassDriver,DOOR,Level All,HARD,0,2,2,Concrete,1600,3,15,3200,10,1800,10,100,255,1,ZNULLECM,FortressSensor,1,STWPFCAN.PIE,0,0,1
X-Super-Missile,DOOR,Level All,HARD,0,2,2,Concrete,1600,3,15,3200,10,1600,10,100,255,1,ZNULLECM,FortressSensor,1,STWPFCAN.PIE,0,0,1
X-Super-Rocket,DOOR,Level All,HARD,0,2,2,Concrete,1600,3,15,3200,10,1250,10,100,255,1,ZNULLECM,FortressSensor,1,STWPFCAN.PIE,0,0,1
Sys-RadarDetector01,DEFENSE,Level All,MEDIUM,0,1,1,Concrete,400,2,15,600,10,100,10,150,255,1,ZNULLECM,RadarDetector,0,BLGUARDR.pie,0,0,0
ECM1PylonMk1,DEFENSE,Level All,MEDIUM,0,1,1,Concrete,300,3,10,300,0,60,10,150,255,0,ECM1TurretMk1,DefaultSensor1Mk1,0,blguardr.pie,0,0,0
